knn3: 1; 1; [[1.]]; [[ 1.  1. 19.]]; [[127950. 216600. 234986.]]
knn5: 1; 1; [[1.]]; [[ 1.  1. 19. 27. 19.]]; [[127950. 216600. 234986. 265982. 283518.]]
knn7: 1; 19; [[19.]]; [[ 1.  1. 19. 27. 19. 19.  4.]]; [[127950. 216600. 234986. 265982. 283518. 285394. 287108.]]
knn3: 2; 2; [[2.]]; [[2. 2. 2.]]; [[ 60432.  96258. 107406.]]
knn5: 2; 2; [[2.]]; [[2. 2. 2. 2. 2.]]; [[ 60432.  96258. 107406. 136538. 154510.]]
knn7: 2; 2; [[2.]]; [[ 2.  2.  2.  2.  2.  2. 15.]]; [[ 60432.  96258. 107406. 136538. 154510. 168350. 189768.]]
knn3: 3; 3; [[3.]]; [[ 3.  3. 12.]]; [[54292. 55028. 63960.]]
knn5: 3; 3; [[3.]]; [[ 3.  3. 12. 12. 26.]]; [[54292. 55028. 63960. 72026. 89072.]]
knn7: 3; 12; [[12.]]; [[ 3.  3. 12. 12. 26. 12. 12.]]; [[ 54292.  55028.  63960.  72026.  89072.  89180. 111670.]]
knn3: 4; 4; [[4.]]; [[4. 4. 9.]]; [[48546. 76602. 81502.]]
knn5: 4; 4; [[4.]]; [[ 4.  4.  9. 35. 35.]]; [[48546. 76602. 81502. 84154. 91964.]]
knn7: 4; 4; [[4.]]; [[ 4.  4.  9. 35. 35.  9.  4.]]; [[48546. 76602. 81502. 84154. 91964. 98060. 99312.]]
knn3: 5; 5; [[5.]]; [[ 5. 25.  5.]]; [[130398. 146560. 180938.]]
knn5: 5; 5; [[5.]]; [[ 5. 25.  5. 25.  5.]]; [[130398. 146560. 180938. 187086. 193616.]]
knn7: 5; 5; [[5.]]; [[ 5. 25.  5. 25.  5. 15.  5.]]; [[130398. 146560. 180938. 187086. 193616. 215328. 227222.]]
knn3: 6; 6; [[6.]]; [[ 6. 18.  6.]]; [[ 51534.  92242. 103416.]]
knn5: 6; 6; [[6.]]; [[ 6. 18.  6.  6.  6.]]; [[ 51534.  92242. 103416. 118154. 121214.]]
knn7: 6; 6; [[6.]]; [[ 6. 18.  6.  6.  6. 13. 18.]]; [[ 51534.  92242. 103416. 118154. 121214. 125600. 141100.]]
knn3: 7; 7; [[7.]]; [[7. 7. 7.]]; [[29100. 52992. 94170.]]
knn5: 7; 7; [[7.]]; [[ 7.  7.  7.  7. 28.]]; [[ 29100.  52992.  94170. 109922. 113648.]]
knn7: 7; 7; [[7.]]; [[ 7.  7.  7.  7. 28.  7. 20.]]; [[ 29100.  52992.  94170. 109922. 113648. 128300. 141996.]]
knn3: 8; 8; [[8.]]; [[8. 8. 8.]]; [[234824. 235290. 259816.]]
knn5: 8; 8; [[8.]]; [[8. 8. 8. 8. 8.]]; [[234824. 235290. 259816. 305152. 307536.]]
knn7: 8; 8; [[8.]]; [[ 8.  8.  8.  8.  8. 10. 10.]]; [[234824. 235290. 259816. 305152. 307536. 389404. 429538.]]
knn3: 9; 9; [[9.]]; [[9. 9. 4.]]; [[59900. 70292. 73286.]]
knn5: 9; 4; [[4.]]; [[9. 9. 4. 4. 4.]]; [[59900. 70292. 73286. 73544. 75408.]]
knn7: 9; 4; [[4.]]; [[9. 9. 4. 4. 4. 9. 4.]]; [[59900. 70292. 73286. 73544. 75408. 76926. 88582.]]
knn3: 10; 10; [[10.]]; [[10. 16. 39.]]; [[103838. 272882. 284184.]]
knn5: 10; 39; [[39.]]; [[10. 16. 39. 39. 23.]]; [[103838. 272882. 284184. 299206. 302932.]]
knn7: 10; 10; [[10.]]; [[10. 16. 39. 39. 23. 10. 17.]]; [[103838. 272882. 284184. 299206. 302932. 303056. 320206.]]
knn3: 11; 11; [[11.]]; [[11. 14. 11.]]; [[ 97910.  99968. 119710.]]
knn5: 11; 11; [[11.]]; [[11. 14. 11. 11. 11.]]; [[ 97910.  99968. 119710. 131552. 141630.]]
knn7: 11; 11; [[11.]]; [[11. 14. 11. 11. 11. 14. 14.]]; [[ 97910.  99968. 119710. 131552. 141630. 146876. 164910.]]
knn3: 12; 12; [[12.]]; [[12. 18. 12.]]; [[204374. 226592. 282510.]]
knn5: 12; 12; [[12.]]; [[12. 18. 12. 12.  8.]]; [[204374. 226592. 282510. 294962. 296744.]]
knn7: 12; 12; [[12.]]; [[12. 18. 12. 12.  8. 37.  8.]]; [[204374. 226592. 282510. 294962. 296744. 300130. 305332.]]
knn3: 13; 13; [[13.]]; [[13. 13. 18.]]; [[ 39846.  66124. 108394.]]
knn5: 13; 13; [[13.]]; [[13. 13. 18. 13. 13.]]; [[ 39846.  66124. 108394. 110010. 118328.]]
knn7: 13; 13; [[13.]]; [[13. 13. 18. 13. 13. 35. 40.]]; [[ 39846.  66124. 108394. 110010. 118328. 123830. 140002.]]
knn3: 14; 14; [[14.]]; [[14. 14. 14.]]; [[27542. 64988. 66396.]]
knn5: 14; 14; [[14.]]; [[14. 14. 14. 14. 14.]]; [[27542. 64988. 66396. 67612. 84392.]]
knn7: 14; 14; [[14.]]; [[14. 14. 14. 14. 14. 14. 28.]]; [[ 27542.  64988.  66396.  67612.  84392.  92820. 132226.]]
knn3: 15; 2; [[2.]]; [[ 2. 31. 30.]]; [[136410. 166000. 181820.]]
knn5: 15; 31; [[31.]]; [[ 2. 31. 30. 24. 31.]]; [[136410. 166000. 181820. 196556. 199732.]]
knn7: 15; 31; [[31.]]; [[ 2. 31. 30. 24. 31. 31. 15.]]; [[136410. 166000. 181820. 196556. 199732. 202708. 222914.]]
knn3: 16; 16; [[16.]]; [[16. 16. 16.]]; [[43796. 73980. 85342.]]
knn5: 16; 16; [[16.]]; [[16. 16. 16. 16.  1.]]; [[ 43796.  73980.  85342. 108788. 148248.]]
knn7: 16; 16; [[16.]]; [[16. 16. 16. 16.  1. 19. 16.]]; [[ 43796.  73980.  85342. 108788. 148248. 154338. 158240.]]
knn3: 17; 17; [[17.]]; [[17. 17. 17.]]; [[47594. 80464. 81728.]]
knn5: 17; 17; [[17.]]; [[17. 17. 17.  7. 17.]]; [[ 47594.  80464.  81728.  94604. 112862.]]
knn7: 17; 17; [[17.]]; [[17. 17. 17.  7. 17. 36.  7.]]; [[ 47594.  80464.  81728.  94604. 112862. 135840. 154046.]]
knn3: 18; 18; [[18.]]; [[18. 18. 18.]]; [[114488. 120828. 123524.]]
knn5: 18; 18; [[18.]]; [[18. 18. 18. 13. 26.]]; [[114488. 120828. 123524. 159856. 169822.]]
knn7: 18; 18; [[18.]]; [[18. 18. 18. 13. 26. 12.  6.]]; [[114488. 120828. 123524. 159856. 169822. 170032. 196098.]]
knn3: 19; 19; [[19.]]; [[19. 19. 17.]]; [[ 91266. 115010. 204700.]]
knn5: 19; 19; [[19.]]; [[19. 19. 17. 16. 27.]]; [[ 91266. 115010. 204700. 215058. 216658.]]
knn7: 19; 19; [[19.]]; [[19. 19. 17. 16. 27. 27. 19.]]; [[ 91266. 115010. 204700. 215058. 216658. 216906. 223292.]]
knn3: 20; 20; [[20.]]; [[20. 36. 39.]]; [[ 68912. 114134. 129584.]]
knn5: 20; 20; [[20.]]; [[20. 36. 39. 20. 36.]]; [[ 68912. 114134. 129584. 144260. 146318.]]
knn7: 20; 20; [[20.]]; [[20. 36. 39. 20. 36. 39.  4.]]; [[ 68912. 114134. 129584. 144260. 146318. 171688. 178476.]]
knn3: 21; 21; [[21.]]; [[21. 21. 21.]]; [[35388. 48034. 60780.]]
knn5: 21; 21; [[21.]]; [[21. 21. 21. 21. 29.]]; [[ 35388.  48034.  60780.  71680. 110964.]]
knn7: 21; 21; [[21.]]; [[21. 21. 21. 21. 29.  3. 29.]]; [[ 35388.  48034.  60780.  71680. 110964. 129980. 130600.]]
knn3: 22; 22; [[22.]]; [[33. 22. 22.]]; [[59542. 67464. 71604.]]
knn5: 22; 22; [[22.]]; [[33. 22. 22. 33. 22.]]; [[59542. 67464. 71604. 73608. 84304.]]
knn7: 22; 22; [[22.]]; [[33. 22. 22. 33. 22. 22. 33.]]; [[ 59542.  67464.  71604.  73608.  84304. 101174. 110458.]]
knn3: 23; 23; [[23.]]; [[23. 23. 39.]]; [[ 57474.  90852. 104638.]]
knn5: 23; 23; [[23.]]; [[23. 23. 39. 39.  4.]]; [[ 57474.  90852. 104638. 136444. 168758.]]
knn7: 23; 4; [[4.]]; [[23. 23. 39. 39.  4.  4.  9.]]; [[ 57474.  90852. 104638. 136444. 168758. 175074. 176084.]]
knn3: 24; 24; [[24.]]; [[24. 24. 24.]]; [[ 86496. 108830. 111418.]]
knn5: 24; 24; [[24.]]; [[24. 24. 24. 24. 24.]]; [[ 86496. 108830. 111418. 147894. 217854.]]
knn7: 24; 24; [[24.]]; [[24. 24. 24. 24. 24.  2. 30.]]; [[ 86496. 108830. 111418. 147894. 217854. 220940. 225274.]]
knn3: 25; 25; [[25.]]; [[25. 25. 25.]]; [[ 72602. 109950. 116896.]]
knn5: 25; 25; [[25.]]; [[25. 25. 25. 25. 13.]]; [[ 72602. 109950. 116896. 151860. 161058.]]
knn7: 25; 25; [[25.]]; [[25. 25. 25. 25. 13. 32.  3.]]; [[ 72602. 109950. 116896. 151860. 161058. 238898. 243222.]]
knn3: 26; 3; [[3.]]; [[3. 3. 3.]]; [[79550. 83844. 92104.]]
