knn3: 1; 1; [[1.]]; [[ 1.  1. 18.]]; [[43134. 72218. 94940.]]
knn5: 1; 1; [[1.]]; [[ 1.  1. 18. 10.  1.]]; [[ 43134.  72218.  94940.  99766. 100540.]]
knn7: 1; 1; [[1.]]; [[ 1.  1. 18. 10.  1. 38.  1.]]; [[ 43134.  72218.  94940.  99766. 100540. 105448. 106576.]]
knn3: 2; 2; [[2.]]; [[2. 2. 2.]]; [[14192. 16714. 18450.]]
knn5: 2; 2; [[2.]]; [[2. 2. 2. 2. 2.]]; [[14192. 16714. 18450. 18754. 19612.]]
knn7: 2; 2; [[2.]]; [[2. 2. 2. 2. 2. 2. 2.]]; [[14192. 16714. 18450. 18754. 19612. 20882. 21774.]]
knn3: 3; 3; [[3.]]; [[ 3.  5. 21.]]; [[20166. 33338. 35598.]]
knn5: 3; 3; [[3.]]; [[ 3.  5. 21. 12. 18.]]; [[20166. 33338. 35598. 36068. 36938.]]
knn7: 3; 3; [[3.]]; [[ 3.  5. 21. 12. 18.  3.  3.]]; [[20166. 33338. 35598. 36068. 36938. 37096. 37962.]]
knn3: 4; 4; [[4.]]; [[ 4. 18.  5.]]; [[26546. 27412. 28344.]]
knn5: 4; 5; [[5.]]; [[ 4. 18.  5.  5. 18.]]; [[26546. 27412. 28344. 31942. 32124.]]
knn7: 4; 5; [[5.]]; [[ 4. 18.  5.  5. 18. 29.  9.]]; [[26546. 27412. 28344. 31942. 32124. 32656. 32944.]]
knn3: 5; 5; [[5.]]; [[ 5.  5. 23.]]; [[18920. 31158. 40726.]]
knn5: 5; 5; [[5.]]; [[ 5.  5. 23.  5.  5.]]; [[18920. 31158. 40726. 44086. 48464.]]
knn7: 5; 5; [[5.]]; [[ 5.  5. 23.  5.  5. 19.  9.]]; [[18920. 31158. 40726. 44086. 48464. 56672. 57572.]]
knn3: 6; 6; [[6.]]; [[6. 6. 6.]]; [[16784. 21218. 23456.]]
knn5: 6; 6; [[6.]]; [[6. 6. 6. 6. 6.]]; [[16784. 21218. 23456. 23716. 26392.]]
knn7: 6; 6; [[6.]]; [[ 6.  6.  6.  6.  6. 29. 18.]]; [[16784. 21218. 23456. 23716. 26392. 34562. 36492.]]
knn3: 7; 7; [[7.]]; [[7. 7. 7.]]; [[13946. 14330. 14704.]]
knn5: 7; 7; [[7.]]; [[7. 7. 7. 7. 7.]]; [[13946. 14330. 14704. 15098. 16236.]]
knn7: 7; 7; [[7.]]; [[7. 7. 7. 7. 7. 7. 7.]]; [[13946. 14330. 14704. 15098. 16236. 16640. 19034.]]
knn3: 8; 8; [[8.]]; [[8. 8. 8.]]; [[22026. 24822. 31620.]]
knn5: 8; 8; [[8.]]; [[ 8.  8.  8.  8. 35.]]; [[22026. 24822. 31620. 45336. 72382.]]
knn7: 8; 8; [[8.]]; [[ 8.  8.  8.  8. 35. 35. 19.]]; [[22026. 24822. 31620. 45336. 72382. 77490. 82516.]]
knn3: 9; 9; [[9.]]; [[ 9.  9. 21.]]; [[23068. 25352. 26144.]]
knn5: 9; 9; [[9.]]; [[ 9.  9. 21.  9.  9.]]; [[23068. 25352. 26144. 27206. 28566.]]
knn7: 9; 9; [[9.]]; [[ 9.  9. 21.  9.  9. 29. 12.]]; [[23068. 25352. 26144. 27206. 28566. 31472. 31678.]]
knn3: 10; 10; [[10.]]; [[10. 10. 10.]]; [[14112. 27576. 30492.]]
knn5: 10; 10; [[10.]]; [[10. 10. 10. 16. 10.]]; [[14112. 27576. 30492. 30500. 35348.]]
knn7: 10; 10; [[10.]]; [[10. 10. 10. 16. 10. 29. 10.]]; [[14112. 27576. 30492. 30500. 35348. 41950. 44054.]]
knn3: 11; 11; [[11.]]; [[11. 11. 11.]]; [[18298. 21126. 21934.]]
knn5: 11; 11; [[11.]]; [[11. 11. 11. 11. 11.]]; [[18298. 21126. 21934. 23190. 27146.]]
knn7: 11; 11; [[11.]]; [[11. 11. 11. 11. 11. 32. 11.]]; [[18298. 21126. 21934. 23190. 27146. 27442. 27620.]]
knn3: 12; 12; [[12.]]; [[12. 12.  9.]]; [[27866. 33166. 33246.]]
knn5: 12; 12; [[12.]]; [[12. 12.  9. 12.  9.]]; [[27866. 33166. 33246. 37450. 39320.]]
knn7: 12; 12; [[12.]]; [[12. 12.  9. 12.  9. 12. 12.]]; [[27866. 33166. 33246. 37450. 39320. 41990. 42076.]]
knn3: 13; 13; [[13.]]; [[13. 39. 13.]]; [[18290. 29238. 34938.]]
knn5: 13; 39; [[39.]]; [[13. 39. 13. 39. 39.]]; [[18290. 29238. 34938. 35268. 36454.]]
knn7: 13; 13; [[13.]]; [[13. 39. 13. 39. 39.  3. 13.]]; [[18290. 29238. 34938. 35268. 36454. 37900. 38124.]]
knn3: 14; 14; [[14.]]; [[14. 14. 14.]]; [[18510. 21020. 21050.]]
knn5: 14; 14; [[14.]]; [[14. 14. 14. 14. 14.]]; [[18510. 21020. 21050. 23734. 24096.]]
knn7: 14; 14; [[14.]]; [[14. 14. 14. 14. 14. 14. 14.]]; [[18510. 21020. 21050. 23734. 24096. 29778. 30598.]]
knn3: 15; 15; [[15.]]; [[15. 15. 15.]]; [[15238. 16686. 18524.]]
knn5: 15; 15; [[15.]]; [[15. 15. 15. 15. 34.]]; [[15238. 16686. 18524. 20958. 24942.]]
knn7: 15; 15; [[15.]]; [[15. 15. 15. 15. 34. 34. 34.]]; [[15238. 16686. 18524. 20958. 24942. 25516. 27182.]]
knn3: 16; 16; [[16.]]; [[16. 16. 16.]]; [[14296. 24252. 24828.]]
knn5: 16; 16; [[16.]]; [[16. 16. 16. 16. 16.]]; [[14296. 24252. 24828. 28754. 29826.]]
knn7: 16; 16; [[16.]]; [[16. 16. 16. 16. 16. 16.  2.]]; [[14296. 24252. 24828. 28754. 29826. 35584. 39454.]]
knn3: 17; 17; [[17.]]; [[17. 17. 17.]]; [[18482. 21302. 28602.]]
knn5: 17; 17; [[17.]]; [[17. 17. 17. 22. 22.]]; [[18482. 21302. 28602. 46028. 52460.]]
knn7: 17; 17; [[17.]]; [[17. 17. 17. 22. 22. 20. 22.]]; [[18482. 21302. 28602. 46028. 52460. 54904. 56028.]]
knn3: 18; 18; [[18.]]; [[18. 18. 18.]]; [[19920. 20440. 22914.]]
knn5: 18; 18; [[18.]]; [[18. 18. 18. 29. 18.]]; [[19920. 20440. 22914. 24124. 24304.]]
knn7: 18; 18; [[18.]]; [[18. 18. 18. 29. 18. 13. 21.]]; [[19920. 20440. 22914. 24124. 24304. 24688. 24970.]]
knn3: 19; 19; [[19.]]; [[19. 19. 19.]]; [[19894. 30196. 30450.]]
knn5: 19; 19; [[19.]]; [[19. 19. 19.  9. 19.]]; [[19894. 30196. 30450. 34746. 34894.]]
knn7: 19; 19; [[19.]]; [[19. 19. 19.  9. 19.  4.  9.]]; [[19894. 30196. 30450. 34746. 34894. 41186. 42654.]]
knn3: 20; 20; [[20.]]; [[20. 20. 29.]]; [[22818. 46914. 47768.]]
knn5: 20; 20; [[20.]]; [[20. 20. 29. 29. 13.]]; [[22818. 46914. 47768. 49594. 50274.]]
knn7: 20; 20; [[20.]]; [[20. 20. 29. 29. 13. 29. 20.]]; [[22818. 46914. 47768. 49594. 50274. 50660. 51470.]]
knn3: 21; 5; [[5.]]; [[21. 29.  5.]]; [[22112. 22826. 24622.]]
knn5: 21; 21; [[21.]]; [[21. 29.  5. 21. 18.]]; [[22112. 22826. 24622. 24920. 27284.]]
knn7: 21; 5; [[5.]]; [[21. 29.  5. 21. 18.  5. 18.]]; [[22112. 22826. 24622. 24920. 27284. 28130. 28250.]]
knn3: 22; 22; [[22.]]; [[22. 22. 22.]]; [[19588. 26372. 27526.]]
knn5: 22; 22; [[22.]]; [[22. 22. 22. 22. 22.]]; [[19588. 26372. 27526. 28684. 29960.]]
knn7: 22; 22; [[22.]]; [[22. 22. 22. 22. 22. 22. 22.]]; [[19588. 26372. 27526. 28684. 29960. 31894. 36176.]]
knn3: 23; 23; [[23.]]; [[23. 23. 23.]]; [[24052. 44862. 58978.]]
knn5: 23; 23; [[23.]]; [[23. 23. 23. 23. 31.]]; [[24052. 44862. 58978. 68970. 70472.]]
knn7: 23; 23; [[23.]]; [[23. 23. 23. 23. 31.  5. 23.]]; [[24052. 44862. 58978. 68970. 70472. 71020. 71078.]]
knn3: 24; 24; [[24.]]; [[24. 24. 16.]]; [[26154. 46708. 47420.]]
knn5: 24; 16; [[16.]]; [[24. 24. 16. 16. 16.]]; [[26154. 46708. 47420. 52030. 58002.]]
knn7: 24; 16; [[16.]]; [[24. 24. 16. 16. 16.  1. 16.]]; [[26154. 46708. 47420. 52030. 58002. 60322. 61312.]]
knn3: 25; 25; [[25.]]; [[25. 25. 25.]]; [[20940. 22308. 32564.]]
knn5: 25; 25; [[25.]]; [[25. 25. 25. 25.  9.]]; [[20940. 22308. 32564. 39096. 40318.]]
knn7: 25; 25; [[25.]]; [[25. 25. 25. 25.  9. 25. 40.]]; [[20940. 22308. 32564. 39096. 40318. 46442. 46856.]]
knn3: 26; 26; [[26.]]; [[15. 26. 26.]]; [[29812. 30560. 32732.]]
knn5: 26; 15; [[15.]]; [[15. 26. 26. 15. 15.]]; [[29812. 30560. 32732. 36242. 38218.]]
knn7: 26; 15; [[15.]]; [[15. 26. 26. 15. 15. 15. 26.]]; [[29812. 30560. 32732. 36242. 38218. 38706. 39164.]]
