knn3: 1; 1; [[1.]]; [[ 1.  6. 18.]]; [[156356. 248624. 279126.]]
knn5: 1; 1; [[1.]]; [[ 1.  6. 18.  6.  1.]]; [[156356. 248624. 279126. 281876. 286226.]]
knn7: 1; 1; [[1.]]; [[ 1.  6. 18.  6.  1. 18. 13.]]; [[156356. 248624. 279126. 281876. 286226. 287948. 289502.]]
knn3: 2; 2; [[2.]]; [[2. 2. 2.]]; [[ 65232.  91036. 123932.]]
knn5: 2; 2; [[2.]]; [[2. 2. 2. 2. 2.]]; [[ 65232.  91036. 123932. 124884. 135822.]]
knn7: 2; 2; [[2.]]; [[2. 2. 2. 2. 2. 2. 2.]]; [[ 65232.  91036. 123932. 124884. 135822. 154510. 163036.]]
knn3: 3; 3; [[3.]]; [[ 3.  3. 12.]]; [[54292. 65264. 76010.]]
knn5: 3; 3; [[3.]]; [[ 3.  3. 12. 12. 26.]]; [[54292. 65264. 76010. 76630. 80770.]]
knn7: 3; 12; [[12.]]; [[ 3.  3. 12. 12. 26. 12. 12.]]; [[ 54292.  65264.  76010.  76630.  80770.  98328. 102272.]]
knn3: 4; 4; [[4.]]; [[ 4.  4. 35.]]; [[76602. 85836. 90762.]]
knn5: 4; 4; [[4.]]; [[ 4.  4. 35.  4. 13.]]; [[ 76602.  85836.  90762. 102764. 140476.]]
knn7: 4; 4; [[4.]]; [[ 4.  4. 35.  4. 13. 35. 13.]]; [[ 76602.  85836.  90762. 102764. 140476. 156740. 170506.]]
knn3: 5; 5; [[5.]]; [[ 5.  5. 35.]]; [[ 30418.  66016. 134952.]]
knn5: 5; 5; [[5.]]; [[ 5.  5. 35.  5. 25.]]; [[ 30418.  66016. 134952. 227222. 250926.]]
knn7: 5; 5; [[5.]]; [[ 5.  5. 35.  5. 25.  5. 15.]]; [[ 30418.  66016. 134952. 227222. 250926. 268910. 282106.]]
knn3: 6; 6; [[6.]]; [[6. 6. 6.]]; [[75504. 84492. 86998.]]
knn5: 6; 6; [[6.]]; [[6. 6. 6. 6. 6.]]; [[ 75504.  84492.  86998. 102242. 120008.]]
knn7: 6; 6; [[6.]]; [[ 6.  6.  6.  6.  6. 18. 13.]]; [[ 75504.  84492.  86998. 102242. 120008. 180822. 193856.]]
knn3: 7; 7; [[7.]]; [[7. 7. 7.]]; [[29100. 38900. 60182.]]
knn5: 7; 7; [[7.]]; [[7. 7. 7. 7. 7.]]; [[ 29100.  38900.  60182.  84786. 121266.]]
knn7: 7; 7; [[7.]]; [[ 7.  7.  7.  7.  7. 28.  7.]]; [[ 29100.  38900.  60182.  84786. 121266. 121752. 127152.]]
knn3: 8; 8; [[8.]]; [[8. 8. 8.]]; [[ 76560. 162922. 223582.]]
knn5: 8; 8; [[8.]]; [[ 8.  8.  8.  8. 23.]]; [[ 76560. 162922. 223582. 394190. 404460.]]
knn7: 8; 8; [[8.]]; [[ 8.  8.  8.  8. 23. 10.  1.]]; [[ 76560. 162922. 223582. 394190. 404460. 404770. 404988.]]
knn3: 9; 9; [[9.]]; [[9. 9. 4.]]; [[64334. 72676. 72966.]]
knn5: 9; 4; [[4.]]; [[9. 9. 4. 4. 4.]]; [[64334. 72676. 72966. 81502. 94524.]]
knn7: 9; 4; [[4.]]; [[9. 9. 4. 4. 4. 4. 4.]]; [[64334. 72676. 72966. 81502. 94524. 95876. 96744.]]
knn3: 10; 10; [[10.]]; [[10. 16. 39.]]; [[103838. 272882. 284184.]]
knn5: 10; 39; [[39.]]; [[10. 16. 39. 39. 23.]]; [[103838. 272882. 284184. 299206. 302932.]]
knn7: 10; 39; [[39.]]; [[10. 16. 39. 39. 23. 10. 39.]]; [[103838. 272882. 284184. 299206. 302932. 303056. 328750.]]
knn3: 11; 11; [[11.]]; [[11. 11. 11.]]; [[ 79516.  98266. 101150.]]
knn5: 11; 11; [[11.]]; [[11. 11. 11. 14. 11.]]; [[ 79516.  98266. 101150. 115768. 122730.]]
knn7: 11; 11; [[11.]]; [[11. 11. 11. 14. 11. 11. 11.]]; [[ 79516.  98266. 101150. 115768. 122730. 131552. 132596.]]
