knn3: 1; 18; [[18.]]; [[21. 18. 18.]]; [[76748. 77874. 80082.]]
knn5: 1; 18; [[18.]]; [[21. 18. 18. 15. 29.]]; [[76748. 77874. 80082. 80190. 80830.]]
knn7: 1; 18; [[18.]]; [[21. 18. 18. 15. 29. 21. 16.]]; [[76748. 77874. 80082. 80190. 80830. 83532. 83580.]]
knn3: 2; 2; [[2.]]; [[2. 2. 2.]]; [[16132. 16714. 17238.]]
knn5: 2; 2; [[2.]]; [[2. 2. 2. 2. 2.]]; [[16132. 16714. 17238. 20070. 21004.]]
knn7: 2; 2; [[2.]]; [[2. 2. 2. 2. 2. 2. 2.]]; [[16132. 16714. 17238. 20070. 21004. 21612. 23206.]]
knn3: 3; 3; [[3.]]; [[ 3.  9. 21.]]; [[20166. 32148. 32668.]]
knn5: 3; 9; [[9.]]; [[ 3.  9. 21.  9. 29.]]; [[20166. 32148. 32668. 35560. 36778.]]
knn7: 3; 9; [[9.]]; [[ 3.  9. 21.  9. 29. 21. 29.]]; [[20166. 32148. 32668. 35560. 36778. 36902. 37450.]]
knn3: 4; 19; [[19.]]; [[40. 30. 19.]]; [[34266. 37636. 40676.]]
knn5: 4; 19; [[19.]]; [[40. 30. 19. 19.  9.]]; [[34266. 37636. 40676. 41186. 41310.]]
knn7: 4; 19; [[19.]]; [[40. 30. 19. 19.  9. 25. 30.]]; [[34266. 37636. 40676. 41186. 41310. 42034. 44078.]]
knn3: 5; 5; [[5.]]; [[5. 5. 5.]]; [[31104. 32076. 34516.]]
knn5: 5; 5; [[5.]]; [[ 5.  5.  5. 23. 19.]]; [[31104. 32076. 34516. 43066. 46048.]]
knn7: 5; 5; [[5.]]; [[ 5.  5.  5. 23. 19.  5. 40.]]; [[31104. 32076. 34516. 43066. 46048. 48464. 50298.]]
knn3: 6; 6; [[6.]]; [[6. 6. 6.]]; [[15390. 17110. 19462.]]
knn5: 6; 6; [[6.]]; [[6. 6. 6. 6. 6.]]; [[15390. 17110. 19462. 23716. 26658.]]
knn7: 6; 6; [[6.]]; [[ 6.  6.  6.  6.  6.  6. 29.]]; [[15390. 17110. 19462. 23716. 26658. 27542. 30620.]]
knn3: 7; 7; [[7.]]; [[7. 7. 7.]]; [[15740. 16640. 17860.]]
knn5: 7; 7; [[7.]]; [[7. 7. 7. 7. 7.]]; [[15740. 16640. 17860. 19042. 19244.]]
