knn3: 1; 1; [[1.]]; [[ 1. 16.  1.]]; [[128944. 268160. 306404.]]
knn5: 1; 16; [[16.]]; [[ 1. 16.  1. 16. 16.]]; [[128944. 268160. 306404. 312534. 326300.]]
knn7: 1; 16; [[16.]]; [[ 1. 16.  1. 16. 16. 16. 27.]]; [[128944. 268160. 306404. 312534. 326300. 355526. 358504.]]
knn3: 2; 2; [[2.]]; [[2. 2. 2.]]; [[ 60432.  96258. 107406.]]
knn5: 2; 2; [[2.]]; [[2. 2. 2. 2. 2.]]; [[ 60432.  96258. 107406. 136538. 154510.]]
knn7: 2; 2; [[2.]]; [[ 2.  2.  2.  2.  2.  2. 15.]]; [[ 60432.  96258. 107406. 136538. 154510. 168350. 189768.]]
knn3: 3; 3; [[3.]]; [[ 3. 26.  3.]]; [[49194. 92104. 97238.]]
knn5: 3; 3; [[3.]]; [[ 3. 26.  3. 26. 12.]]; [[ 49194.  92104.  97238. 144516. 149122.]]
knn7: 3; 3; [[3.]]; [[ 3. 26.  3. 26. 12.  3.  3.]]; [[ 49194.  92104.  97238. 144516. 149122. 153440. 161474.]]
knn3: 4; 4; [[4.]]; [[4. 4. 9.]]; [[48546. 76602. 81502.]]
knn5: 4; 4; [[4.]]; [[ 4.  4.  9. 35.  9.]]; [[48546. 76602. 81502. 84154. 98060.]]
knn7: 4; 4; [[4.]]; [[ 4.  4.  9. 35.  9.  4.  4.]]; [[ 48546.  76602.  81502.  84154.  98060.  99312. 100140.]]
knn3: 5; 5; [[5.]]; [[5. 5. 5.]]; [[111916. 116278. 193616.]]
knn5: 5; 5; [[5.]]; [[ 5.  5.  5. 25.  5.]]; [[111916. 116278. 193616. 220300. 279020.]]
knn7: 5; 5; [[5.]]; [[ 5.  5.  5. 25.  5.  5. 25.]]; [[111916. 116278. 193616. 220300. 279020. 300640. 304460.]]
knn3: 6; 6; [[6.]]; [[6. 6. 6.]]; [[57928. 59078. 66778.]]
knn5: 6; 6; [[6.]]; [[6. 6. 6. 6. 6.]]; [[57928. 59078. 66778. 67174. 75504.]]
knn7: 6; 6; [[6.]]; [[ 6.  6.  6.  6.  6.  6. 18.]]; [[ 57928.  59078.  66778.  67174.  75504. 103416. 119936.]]
knn3: 7; 7; [[7.]]; [[ 7.  7. 37.]]; [[50756. 77262. 99912.]]
knn5: 7; 7; [[7.]]; [[ 7.  7. 37. 28. 28.]]; [[ 50756.  77262.  99912. 116206. 133338.]]
knn7: 7; 28; [[28.]]; [[ 7.  7. 37. 28. 28. 23. 28.]]; [[ 50756.  77262.  99912. 116206. 133338. 154148. 157156.]]
knn3: 8; 8; [[8.]]; [[8. 8. 8.]]; [[ 76560. 142272. 185144.]]
knn5: 8; 8; [[8.]]; [[ 8.  8.  8. 10. 19.]]; [[ 76560. 142272. 185144. 436934. 465832.]]
knn7: 8; 8; [[8.]]; [[ 8.  8.  8. 10. 19.  8. 10.]]; [[ 76560. 142272. 185144. 436934. 465832. 503382. 508206.]]
knn3: 9; 9; [[9.]]; [[9. 9. 4.]]; [[59900. 70292. 73286.]]
knn5: 9; 4; [[4.]]; [[9. 9. 4. 4. 4.]]; [[59900. 70292. 73286. 73544. 75408.]]
knn7: 9; 4; [[4.]]; [[9. 9. 4. 4. 4. 9. 4.]]; [[59900. 70292. 73286. 73544. 75408. 76926. 88582.]]
