knn3: 1; 4; [[4.]]; [[1. 4. 4.]]; [[188996. 196178. 198240.]]
knn5: 1; 4; [[4.]]; [[ 1.  4.  4. 19. 13.]]; [[188996. 196178. 198240. 206422. 220000.]]
knn7: 1; 1; [[1.]]; [[ 1.  4.  4. 19. 13.  1. 40.]]; [[188996. 196178. 198240. 206422. 220000. 233170. 237940.]]
knn3: 2; 2; [[2.]]; [[2. 2. 2.]]; [[51486. 58172. 74542.]]
knn5: 2; 2; [[2.]]; [[2. 2. 2. 2. 2.]]; [[ 51486.  58172.  74542.  81810. 106984.]]
knn7: 2; 2; [[2.]]; [[2. 2. 2. 2. 2. 2. 2.]]; [[ 51486.  58172.  74542.  81810. 106984. 107406. 124884.]]
knn3: 3; 3; [[3.]]; [[ 3. 40.  3.]]; [[ 62408. 124378. 129404.]]
knn5: 3; 3; [[3.]]; [[ 3. 40.  3. 35. 25.]]; [[ 62408. 124378. 129404. 129728. 154084.]]
knn7: 3; 3; [[3.]]; [[ 3. 40.  3. 35. 25.  3. 13.]]; [[ 62408. 124378. 129404. 129728. 154084. 167176. 180828.]]
knn3: 4; 4; [[4.]]; [[4. 4. 9.]]; [[48546. 76602. 81502.]]
knn5: 4; 4; [[4.]]; [[ 4.  4.  9. 35. 35.]]; [[48546. 76602. 81502. 84154. 91964.]]
knn7: 4; 4; [[4.]]; [[ 4.  4.  9. 35. 35.  9.  4.]]; [[48546. 76602. 81502. 84154. 91964. 98060. 99312.]]
knn3: 5; 5; [[5.]]; [[ 5.  5. 25.]]; [[ 35658. 111916. 237670.]]
knn5: 5; 5; [[5.]]; [[ 5.  5. 25.  5. 25.]]; [[ 35658. 111916. 237670. 261752. 276618.]]
knn7: 5; 5; [[5.]]; [[ 5.  5. 25.  5. 25. 25.  5.]]; [[ 35658. 111916. 237670. 261752. 276618. 279484. 296402.]]
knn3: 6; 6; [[6.]]; [[ 6. 40.  6.]]; [[ 54246. 105760. 105908.]]
knn5: 6; 40; [[40.]]; [[ 6. 40.  6. 40. 40.]]; [[ 54246. 105760. 105908. 112204. 143614.]]
knn7: 6; 40; [[40.]]; [[ 6. 40.  6. 40. 40. 18. 18.]]; [[ 54246. 105760. 105908. 112204. 143614. 149472. 156182.]]
knn3: 7; 7; [[7.]]; [[ 7.  7. 28.]]; [[ 50756.  93306. 104046.]]
knn5: 7; 7; [[7.]]; [[ 7.  7. 28.  7.  7.]]; [[ 50756.  93306. 104046. 111206. 119772.]]
knn7: 7; 7; [[7.]]; [[ 7.  7. 28.  7.  7. 28. 37.]]; [[ 50756.  93306. 104046. 111206. 119772. 125392. 139242.]]
knn3: 8; 8; [[8.]]; [[8. 8. 8.]]; [[ 57792. 142272. 162922.]]
knn5: 8; 8; [[8.]]; [[ 8.  8.  8. 10. 23.]]; [[ 57792. 142272. 162922. 305084. 316276.]]
knn7: 8; 8; [[8.]]; [[ 8.  8.  8. 10. 23. 17. 17.]]; [[ 57792. 142272. 162922. 305084. 316276. 348008. 348866.]]
knn3: 9; 9; [[9.]]; [[9. 9. 9.]]; [[49938. 55792. 70292.]]
knn5: 9; 9; [[9.]]; [[9. 9. 9. 4. 9.]]; [[49938. 55792. 70292. 87476. 89708.]]
knn7: 9; 9; [[9.]]; [[9. 9. 9. 4. 9. 4. 4.]]; [[49938. 55792. 70292. 87476. 89708. 94912. 97570.]]
knn3: 10; 10; [[10.]]; [[10. 10. 10.]]; [[ 56090. 182056. 209736.]]
knn5: 10; 10; [[10.]]; [[10. 10. 10. 10. 27.]]; [[ 56090. 182056. 209736. 220944. 260422.]]
knn7: 10; 10; [[10.]]; [[10. 10. 10. 10. 27. 10. 27.]]; [[ 56090. 182056. 209736. 220944. 260422. 265306. 301596.]]
knn3: 11; 11; [[11.]]; [[11. 11. 11.]]; [[ 79516.  98266. 101150.]]
knn5: 11; 11; [[11.]]; [[11. 11. 11. 14. 11.]]; [[ 79516.  98266. 101150. 115768. 122730.]]
knn7: 11; 11; [[11.]]; [[11. 11. 11. 14. 11. 11. 11.]]; [[ 79516.  98266. 101150. 115768. 122730. 131552. 132596.]]
knn3: 12; 12; [[12.]]; [[12. 12. 12.]]; [[35390. 59012. 61292.]]
knn5: 12; 12; [[12.]]; [[12. 12. 12. 12.  3.]]; [[35390. 59012. 61292. 76090. 89180.]]
knn7: 12; 12; [[12.]]; [[12. 12. 12. 12.  3.  3.  3.]]; [[ 35390.  59012.  61292.  76090.  89180.  96852. 102272.]]
knn3: 13; 25; [[25.]]; [[25. 13. 25.]]; [[ 80910. 209038. 253582.]]
knn5: 13; 25; [[25.]]; [[25. 13. 25. 25. 25.]]; [[ 80910. 209038. 253582. 259668. 265476.]]
knn7: 13; 25; [[25.]]; [[25. 13. 25. 25. 25.  3. 32.]]; [[ 80910. 209038. 253582. 259668. 265476. 287814. 293702.]]
knn3: 14; 14; [[14.]]; [[14. 14. 14.]]; [[27542. 69086. 75088.]]
knn5: 14; 14; [[14.]]; [[14. 14. 14. 14. 14.]]; [[ 27542.  69086.  75088.  86472. 103792.]]
knn7: 14; 14; [[14.]]; [[14. 14. 14. 14. 14. 14. 36.]]; [[ 27542.  69086.  75088.  86472. 103792. 104438. 128810.]]
knn3: 15; 15; [[15.]]; [[15. 35. 15.]]; [[ 88894. 103702. 115936.]]
knn5: 15; 15; [[15.]]; [[15. 35. 15. 15. 35.]]; [[ 88894. 103702. 115936. 130174. 158588.]]
knn7: 15; 15; [[15.]]; [[15. 35. 15. 15. 35. 35. 21.]]; [[ 88894. 103702. 115936. 130174. 158588. 167044. 221618.]]
knn3: 16; 8; [[8.]]; [[16. 36.  8.]]; [[ 60478. 542934. 583316.]]
knn5: 16; 8; [[8.]]; [[16. 36.  8.  8. 10.]]; [[ 60478. 542934. 583316. 645088. 647038.]]
knn7: 16; 8; [[8.]]; [[16. 36.  8.  8. 10.  8.  8.]]; [[ 60478. 542934. 583316. 645088. 647038. 713912. 717270.]]
knn3: 17; 17; [[17.]]; [[17. 17. 17.]]; [[50824. 83878. 95192.]]
knn5: 17; 17; [[17.]]; [[17. 17. 17. 39. 17.]]; [[ 50824.  83878.  95192. 100188. 123252.]]
knn7: 17; 17; [[17.]]; [[17. 17. 17. 39. 17. 39. 39.]]; [[ 50824.  83878.  95192. 100188. 123252. 135228. 136954.]]
knn3: 18; 18; [[18.]]; [[18. 18. 18.]]; [[114488. 120828. 123524.]]
knn5: 18; 18; [[18.]]; [[18. 18. 18. 13. 26.]]; [[114488. 120828. 123524. 159856. 169822.]]
knn7: 18; 18; [[18.]]; [[18. 18. 18. 13. 26. 12.  6.]]; [[114488. 120828. 123524. 159856. 169822. 170032. 196098.]]
knn3: 19; 19; [[19.]]; [[19. 19. 17.]]; [[223292. 268056. 268716.]]
knn5: 19; 19; [[19.]]; [[19. 19. 17. 19. 19.]]; [[223292. 268056. 268716. 328140. 328598.]]
knn7: 19; 19; [[19.]]; [[19. 19. 17. 19. 19. 16. 39.]]; [[223292. 268056. 268716. 328140. 328598. 389960. 419414.]]
knn3: 20; 20; [[20.]]; [[20. 20. 20.]]; [[33830. 67904. 87134.]]
knn5: 20; 20; [[20.]]; [[20. 20. 20. 33. 29.]]; [[ 33830.  67904.  87134.  93186. 124388.]]
knn7: 20; 20; [[20.]]; [[20. 20. 20. 33. 29. 20. 29.]]; [[ 33830.  67904.  87134.  93186. 124388. 144570. 157932.]]
knn3: 21; 21; [[21.]]; [[21. 21. 21.]]; [[35388. 53226. 77566.]]
knn5: 21; 21; [[21.]]; [[21. 21. 21. 21. 29.]]; [[ 35388.  53226.  77566.  78556. 123730.]]
knn7: 21; 21; [[21.]]; [[21. 21. 21. 21. 29. 29.  3.]]; [[ 35388.  53226.  77566.  78556. 123730. 130040. 140574.]]
knn3: 22; 22; [[22.]]; [[22. 22. 22.]]; [[67806. 83954. 93506.]]
knn5: 22; 22; [[22.]]; [[22. 22. 22. 22. 22.]]; [[ 67806.  83954.  93506. 136664. 141706.]]
knn7: 22; 22; [[22.]]; [[22. 22. 22. 22. 22. 22. 22.]]; [[ 67806.  83954.  93506. 136664. 141706. 151478. 172162.]]
knn3: 23; 21; [[21.]]; [[23. 21. 35.]]; [[ 39724. 167290. 172580.]]
knn5: 23; 21; [[21.]]; [[23. 21. 35. 21.  3.]]; [[ 39724. 167290. 172580. 172794. 183982.]]
knn7: 23; 21; [[21.]]; [[23. 21. 35. 21.  3.  3. 21.]]; [[ 39724. 167290. 172580. 172794. 183982. 184202. 194076.]]
knn3: 24; 24; [[24.]]; [[24. 24. 24.]]; [[499868. 517332. 862854.]]
