(Face 1) knn3: 1; 16; [[16.]]; [[16. 16.  1.]]; [[107832. 126130. 128944.]]
(Face 1) knn5: 1; 16; [[16.]]; [[16. 16.  1. 16. 16.]]; [[107832. 126130. 128944. 140822. 148248.]]
(Face 1) knn7: 1; 16; [[16.]]; [[16. 16.  1. 16. 16. 16.  1.]]; [[107832. 126130. 128944. 140822. 148248. 151142. 153320.]]
(Face 2) knn3: 1; 1; [[1.]]; [[ 1. 13. 32.]]; [[222980. 460528. 485416.]]
(Face 2) knn5: 1; 5; [[5.]]; [[ 1. 13. 32.  5.  5.]]; [[222980. 460528. 485416. 528362. 538900.]]
(Face 2) knn7: 1; 5; [[5.]]; [[ 1. 13. 32.  5.  5.  5. 25.]]; [[222980. 460528. 485416. 528362. 538900. 579882. 619786.]]
(Face 3) knn3: 1; 1; [[1.]]; [[ 1. 16.  1.]]; [[128944. 268160. 306404.]]
(Face 3) knn5: 1; 16; [[16.]]; [[ 1. 16.  1. 16. 16.]]; [[128944. 268160. 306404. 312534. 326300.]]
(Face 3) knn7: 1; 16; [[16.]]; [[ 1. 16.  1. 16. 16. 16. 16.]]; [[128944. 268160. 306404. 312534. 326300. 348694. 355526.]]
(Face 4) knn3: 1; 1; [[1.]]; [[ 1.  6. 18.]]; [[156356. 248624. 279126.]]
(Face 4) knn5: 1; 1; [[1.]]; [[ 1.  6. 18.  6.  1.]]; [[156356. 248624. 279126. 281876. 286226.]]
(Face 4) knn7: 1; 1; [[1.]]; [[ 1.  6. 18.  6.  1. 18. 13.]]; [[156356. 248624. 279126. 281876. 286226. 287948. 289502.]]
(Face 5) knn3: 1; 1; [[1.]]; [[1. 1. 4.]]; [[156356. 188996. 218744.]]
(Face 5) knn5: 1; 1; [[1.]]; [[1. 1. 4. 6. 6.]]; [[156356. 188996. 218744. 289876. 292858.]]
(Face 5) knn7: 1; 1; [[1.]]; [[ 1.  1.  4.  6.  6. 13.  1.]]; [[156356. 188996. 218744. 289876. 292858. 293378. 309972.]]
